Kategorie-ID,OnBuy Kategoriepfad
10081,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Kunst- & Bastelpapier > Kunst Papier"
10084,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Kunst- & Bastelpapier > Kunst Tissue Papier"
10082,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Kunst- & Bastelpapier > Kartonpapier"
10092,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Kunst- & Bastelpapier > Cellophane Folie"
10094,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Kunst- & Bastelpapier > Krepp-Papier"
10097,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Kunst- & Bastelpapier > Dekor-Papier"
10095,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Kunst- & Bastelpapier > Kraft Papier"
10087,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Kunst- & Bastelpapier > Metallic & Folie Papier"
10089,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Kunst- & Bastelpapier > Papier Rollen"
18212,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Kunst- & Bastelpapier > Paperboards"
10096,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Kunst- & Bastelpapier > Pergament Kunst Papier"
10088,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Kunst- & Bastelpapier > Druckgrafik-Papier"
10091,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Kunst- & Bastelpapier > Zucker Papier"
10090,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Kunst- & Bastelpapier > Pauspapier-Papier"
10083,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Kunst- & Bastelpapier > Pergament Papier"
18213,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Kunst- & Bastelpapier > Wachs Papier"
10075,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Blanko-Leinwand > Canvas Pads"
10076,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Blanko-Leinwand > Canvas Paneele"
10079,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Blanko-Leinwand > Canvas Werkzeuge & Zubehör"
10077,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Blanko-Leinwand > Vorgespannt Canvas"
10078,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Blanko-Leinwand > Gerollt Canvas"
10058,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Bastelklebstoffe > Klebstoff Bögen"
10060,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Bastelklebstoffe > Klebstoff Wachs"
10059,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Bastelklebstoffe > Bastel Klebstoff Sprays"
9474,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Bastelklebstoffe > Bastel Kleber"
10063,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Bastelklebstoffe > Bastel Kleber Stäbchen & Stifte"
10057,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Bastelklebstoffe > Bastel Mounting Klebeband"
10056,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Bastelklebstoffe > Bastel Klebeband"
10062,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Bastelklebstoffe > Stoff Klebstoffe"
18217,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Bastelorganisation, -lagerung & -transport > Kunst Portfolios"
18218,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Bastelorganisation, -lagerung & -transport > Bastel Aufbewahrung Boxen"
18220,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Bastelorganisation, -lagerung & -transport > Stift Halter"
7600,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Bastelbedarf > Kunst & Basteleien Stoff"
10074,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Bastelbedarf > Bastel Tafeln"
9698,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Bastelbedarf > Bastel Knöpfe"
10108,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Bastelbedarf > Bastel Ösen & Ösen"
10105,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Bastelbedarf > Bastel Federn"
9479,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Bastelbedarf > Bastel Filz"
9477,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Bastelbedarf > Bastel Schaumstoff"
10101,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Bastelbedarf > Bastel Glitzer"
10106,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Bastelbedarf > Bastel Gold & Silber Leaf"
10107,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Bastelbedarf > Bastel Wackel-Augen"
9360,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Bastelbedarf > Bastel Rohr Reiniger"
10103,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Bastelbedarf > Bastel Strasssteine"
8079,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Bastelbedarf > Bastel Band"
10102,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Bastelbedarf > Bastel Pailletten"
10104,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Bastelbedarf > Bastel Quasten"
9978,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Bastelbedarf > Bastel Holz"
18214,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Bastelbedarf > Lutscher-Stäbchen"
24514,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Bastelbedarf > Mosaik-Fliesen"
9362,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Bastelbedarf > Andere Bastel Embellishments"
9346,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Bastelbedarf > Aufkleber"
10111,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Bastelwerkzeuge > Badge & Knopf Makers"
10112,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Bastelwerkzeuge > Bastel Öse Setters"
9910,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Bastelwerkzeuge > Bastel Öse Werkzeuge"
10119,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Bastelwerkzeuge > Bastel Messer"
10115,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Bastelwerkzeuge > Bastel Scheren & Papier Schneider"
10120,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Bastelwerkzeuge > Bastel Schärf-Werkzeuge"
10116,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Bastelwerkzeuge > Bastel Scheren"
10110,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Bastelwerkzeuge > Bastel Pinzetten"
10066,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Bastelwerkzeuge > Bastel-Stifte"
10117,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Bastelwerkzeuge > Schneide-Matten"
18216,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Bastelwerkzeuge > Papier Schneider"
10121,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Bastelwerkzeuge > Papier Locher"
10065,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Bastelwerkzeuge > Stift Kissen"
10118,"Kunst, Basteln & Nähen > Kunst- & Bastelbedarf > Bastelwerkzeuge > Rotary Schneider"
10128,"Kunst, Basteln & Nähen > Kunststudio-Möbel > Nähmöbel > Näh-Schränke"
10126,"Kunst, Basteln & Nähen > Kunststudio-Möbel > Aufbewahrung & Präsentation > Kunst Trocken Regale"
10127,"Kunst, Basteln & Nähen > Kunststudio-Möbel > Aufbewahrung & Präsentation > Kunst Druck-Regale"
10124,"Kunst, Basteln & Nähen > Kunststudio-Möbel > Aufbewahrung & Präsentation > Studio Beistelltische"
10122,"Kunst, Basteln & Nähen > Kunststudio-Möbel > Arbeitsflächen & -unterstützung > Zeichen-Tafeln & Tables"
10123,"Kunst, Basteln & Nähen > Kunststudio-Möbel > Arbeitsflächen & -unterstützung > Staffeleien"
9872,"Kunst, Basteln & Nähen > Perlen- & Schmuckherstellung > Präsentation & Lagerung > Schmuck Display Ständer"
9862,"Kunst, Basteln & Nähen > Perlen- & Schmuckherstellung > Sets & Bausätze > Perlen-Sets"
9866,"Kunst, Basteln & Nähen > Perlen- & Schmuckherstellung > Sets & Bausätze > Schmuck Making Sets"
9860,"Kunst, Basteln & Nähen > Perlen- & Schmuckherstellung > Materialien & Komponenten > Perle Looms"
9861,"Kunst, Basteln & Nähen > Perlen- & Schmuckherstellung > Materialien & Komponenten > Perlen-Schnüre & Fäden"
9865,"Kunst, Basteln & Nähen > Perlen- & Schmuckherstellung > Materialien & Komponenten > Cabochons"
9868,"Kunst, Basteln & Nähen > Perlen- & Schmuckherstellung > Materialien & Komponenten > Bastel Kette & Draht"
9869,"Kunst, Basteln & Nähen > Perlen- & Schmuckherstellung > Materialien & Komponenten > Bastel Anhänger (Charms) & Anhänger"
9859,"Kunst, Basteln & Nähen > Perlen- & Schmuckherstellung > Materialien & Komponenten > Schmuck Perlen"
9870,"Kunst, Basteln & Nähen > Perlen- & Schmuckherstellung > Materialien & Komponenten > Schmuck Schmuckzubehör"
18221,"Kunst, Basteln & Nähen > Perlen- & Schmuckherstellung > Materialien & Komponenten > Metall Prägung"
9863,"Kunst, Basteln & Nähen > Perlen- & Schmuckherstellung > Werkzeuge & Ausrüstung > Perlen-Werkzeuge"
9871,"Kunst, Basteln & Nähen > Perlen- & Schmuckherstellung > Werkzeuge & Ausrüstung > Schmuck Gravur-Werkzeuge"
9867,"Kunst, Basteln & Nähen > Perlen- & Schmuckherstellung > Werkzeuge & Ausrüstung > Schmuck Making Werkzeuge"
